"BATCH","Eff1","Eff2","Eff3","SE1","SE2","SE3","VAR11","VAR12","VAR13","VAR21","VAR22","VAR23","VAR31","VAR32","VAR33"
56,-3.17523016086227,-3.87914370578229,-3.01393257355186,0.821909370694571,1.08224168566624,0.697205899072919,0.675535013635546,0.871262093859446,0.550770901191841,0.871262093859446,1.17124706619371,0.735179083359644,0.550770901191841,0.735179083359644,0.486096065702078
57,-2.78671986844187,-2.92809804790166,-2.74046145472963,0.56303635005735,0.495983876187286,0.502931009420906,0.317009931485902,0.16160519966648,0.269419048613623,0.16160519966648,0.246000005437765,0.139069791847925,0.269419048613623,0.139069791847925,0.252939600237132
58,-3.10882401571779,-3.01397601903178,-2.20983962822697,0.929531666908136,0.960935172079449,0.349444329812838,0.864029119785019,0.692677050439894,0.258287169792803,0.692677050439894,0.92339640493936,0.254394967642036,0.258287169792803,0.254394967642036,0.122111339638343
59,-1.7956756214477,-2.30165271623619,-2.14602949032675,0.179395595357352,0.166451286330477,0.1691119771696,0.0321827796336187,0.0194486212326912,0.0240171813348225,0.0194486212326912,0.0277060307210704,0.0260813851082905,0.0240171813348225,0.0260813851082905,0.0285988608222114
60,-2.35568126008539,-2.28569046921156,-2.31790276690983,0.28827518501929,0.176802841965435,0.183567990286035,0.0831025822979056,0.00989314866112652,0.038087906542813,0.00989314866112652,0.0312592449270545,0.0236633776910217,0.038087906542813,0.0236633776910217,0.0336972070576539
61,-1.41248874270942,-2.21440356142882,-1.82155116024962,0.242757106243375,0.153468630289654,0.171422637574223,0.0589310126316573,0.0186838143793047,0.0284330510731245,0.0186838143793047,0.0235526204829824,0.0223738901822552,0.0284330510731245,0.0223738901822552,0.0293857206729033
62,-4.59377619532236,-3.22061911671574,-3.16416270616548,1.72521938023185,0.676080048486137,0.935499251801788,2.97638190992758,1.07317944033522,1.54425883187321,1.07317944033522,0.457084231961017,0.619066208554557,1.54425883187321,0.619066208554557,0.875158850121706
63,-2.21833790116311,-2.08248864097845,-2.07029161283222,0.325021555646193,0.172797785782954,0.199818601493659,0.105639011634672,-0.00184243861144603,0.055868978743731,-0.00184243861144603,0.0298590747714918,0.0110428851487405,0.055868978743731,0.0110428851487405,0.0399274735028817
64,-4.08833421593813,-1.71151566127399,-2.1619209313904,1.9391114377102,0.407682921739668,0.406286065455771,3.76015316785852,-0.224989614722948,0.616712938184975,-0.224989614722948,0.166205364678192,0.0550992226404658,0.616712938184975,0.0550992226404658,0.165068366983531
65,-1.97301117035464,-2.35575796757854,-2.13668226071187,0.169446427518021,0.222911219451985,0.220623177297932,0.02871209179862,0.0198901005957899,0.0260701495843499,0.0198901005957899,0.0496894117575712,0.0458254092099749,0.0260701495843499,0.0458254092099749,0.0486745863610348
66,-4.05019077396246,-5.36391057542394,-2.03454230515926,1.42919550373154,2.1590339380071,0.295306120314794,2.04259978788644,2.34266470226712,0.356519897538803,2.34266470226712,4.66142754546647,0.431011883177613,0.356519897538803,0.431011883177613,0.0872057046953756
67,-2.06647163407147,-2.3312834409054,-1.86980012530624,0.233248512303561,0.15433593728692,0.18815789690882,0.0544048684918246,0.0140797341368985,0.00239868880800294,0.0140797341368985,0.023819581538232,0.0228116198633191,0.00239868880800294,0.0228116198633191,0.0354033941691502
68,-1.99230363966944,-2.42872729904156,-2.29577724614239,0.215816021704822,0.204310069876295,0.256464322330361,0.0465765552244962,0.0334506253579154,0.0481898376385504,0.0334506253579154,0.0417426046528564,0.0481447319765856,0.0481898376385504,0.0481447319765856,0.0657739486283711
69,-2.52054047574052,-2.50870070104571,-2.0924727947896,0.552229758139768,0.217628696180009,0.191706905693076,0.304957705775107,0.0854923975533124,0.073790379799487,0.0854923975533124,0.0473622494010105,0.0323807034034523,0.073790379799487,0.0323807034034523,0.036751537690414
70,-2.05213698921209,-2.59826206169669,-2.226401970922,0.19478807811464,0.16314401815022,0.193418514084738,0.0379423953755952,0.02219295884028,0.0327635019579171,0.02219295884028,0.0266159706581992,0.0265735815818377,0.0327635019579171,0.0265735815818377,0.0374107215907481
71,-2.42224944291137,-2.34257304907964,-2.30674851287009,0.42061046166021,0.166710752266389,0.26841167029321,0.176913160458015,0.037174614206538,0.092036113241901,0.037174614206538,0.0277924749212255,0.0320904351601312,0.092036113241901,0.0320904351601312,0.0720448247495907
72,-2.30688589409804,-3.60208917056548,-1.85661231748728,0.468887008551736,0.992224871480477,0.164091372096591,0.219855026788595,0.265564213549453,0.0317826312441324,0.265564213549453,0.984510195584449,0.0128277322134468,0.0317826312441324,0.0128277322134468,0.0269259783965418
73,-4.55208643404702,-2.17818221838801,-3.05608456535665,1.62880581670119,0.212955161235807,0.553433471760081,2.65300838851963,0.00145716377556708,0.874428833202895,0.00145716377556708,0.0453499006969686,0.014317627040327,0.874428833202895,0.014317627040327,0.306288607664416
74,-2.19834768847002,-2.37568711686936,-2.43728983905959,0.521436794368158,0.278115796546094,0.487634405073627,0.271896330520941,0.128525661042196,0.249855686950164,0.128525661042196,0.0773483962884683,0.126925294193239,0.249855686950164,0.126925294193239,0.23778731301151
75,-2.38909297301315,-3.03673816957792,-0.480798254591168,0.334723868715995,0.769921475658678,1.41774918241641,0.112040068288203,0.213438482243357,-0.332683549982869,0.213438482243357,0.592779078680436,-1.03083951812715,-0.332683549982869,-1.03083951812715,2.0100127442424
76,-2.47616525650822,-2.2659514658278,-2.04769116827597,0.325630295126119,0.200472295656666,0.21684414030296,0.106035089103923,0.0112983322207796,0.0419857121442332,0.0112983322207796,0.0401891413258535,0.0210544496171214,0.0419857121442332,0.0210544496171214,0.0470213811837298
77,-2.46485303897758,-1.55379886889289,-1.29244971148829,0.319207915141615,0.472963667595992,0.480105967776657,0.101893693089057,-0.0774043300719751,-0.0617198926281489,-0.0774043300719751,0.223694630865852,0.198699422172306,-0.0617198926281489,0.198699422172306,0.23050174029476
78,-2.06880480996001,-2.74722477760358,-2.28159124421377,0.235513897464014,0.226044778647665,0.230746299972187,0.0554667958986899,0.0378382411268514,0.0485217648706134,0.0378382411268514,0.0510962419538718,0.0426710597853702,0.0485217648706134,0.0426710597853702,0.0532438549508544
79,-1.81609521810461,-2.37674935678054,-1.97111026629554,0.160751097650222,0.207433605608079,0.165482147375264,0.0258409153957512,0.0199555956882706,0.0221260817254779,0.0199555956882706,0.0430287007355679,0.0137963950166943,0.0221260817254779,0.0137963950166943,0.0273843410999285
80,-1.7832381503244,-2.32145660858877,-1.99626606761122,0.175727311268768,0.185423399859272,0.197174955788157,0.0308800879257504,0.0250942046409492,0.030305021792196,0.0250942046409492,0.0343818372153715,0.0333567503660492,0.030305021792196,0.0333567503660492,0.0388779631900617
81,-2.80271496292536,-2.20654313402997,-1.56133134277428,0.800065409413764,0.184448773967721,0.255859175794622,0.640104659340414,0.0638717422776848,-0.128994734844081,0.0638717422776848,0.0340213502181955,0.012807554598983,-0.128994734844081,0.012807554598983,0.0654639178383035
82,-1.87782160248226,-1.93337452660799,-1.73308910227995,0.202321920112353,0.166814107191396,0.172789065685693,0.0409341593579495,0.0137514918166234,0.0128776667955967,0.0137514918166234,0.0278269463580625,0.0243735511594349,0.0128776667955967,0.0243735511594349,0.0298560612205346
83,-1.89809327487668,-2.63047203319373,-2.33230707187614,0.246332310362999,0.224544174613334,0.190309638349273,0.0606796071287729,0.0171368203869426,0.0404492479662771,0.0171368203869426,0.0504200863527835,0.0223532653260553,0.0404492479662771,0.0223532653260553,0.0362177584486312
84,-1.67296602820256,-2.21768465249312,-2.14117338476949,0.227142464125694,0.271829109582905,0.216786297652352,0.0515936990090922,0.0235239953574493,0.0138199315953385,0.0235239953574493,0.0738910648166348,0.0474193158371805,0.0138199315953385,0.0474193158371805,0.0469962988498143
85,-2.16880084319418,-2.36646227177688,-2.2113970311117,0.294195947529213,0.182069401509969,0.175854981243549,0.0865512555426114,0.0361141393278164,0.0324203031543744,0.0361141393278164,0.0331492669661985,0.0294415918758568,0.0324203031543744,0.0294415918758568,0.0309249744281689
86,-1.88622917798421,-2.26481827642693,-1.94072184462824,0.18200441368158,0.279936467811955,0.171046473422165,0.0331256065995756,0.0153020932245117,0.0191165160795683,0.0153020932245117,0.0783644260110339,0.028597223351183,0.0191165160795683,0.028597223351183,0.0292568960701592
87,-1.92956539078435,-2.13434961159046,-1.79650300970053,0.245142901643281,0.157280858690431,0.187461868252082,0.0600950422260871,0.0190625911569669,0.0409690154261263,0.0190625911569669,0.0247372685103993,0.0213588771512065,0.0409690154261263,0.0213588771512065,0.0351419520485608
88,-2.72918318423255,-2.68776808429224,-2.36537907313567,0.752796854397746,0.212941572564893,0.202281417481529,0.566703103991141,0.106023098885833,0.0784244069930886,0.106023098885833,0.0453441133264096,0.0392046511685493,0.0784244069930886,0.0392046511685493,0.0409177718583366
89,-5.26929213919962,-0.80496250784653,-0.139247995683286,2.32871665450041,0.789647310287282,1.21721708050203,5.42292125694757,-1.74054588299599,-2.72547682452956,-1.74054588299599,0.623542874643939,0.955535711082341,-2.72547682452956,0.955535711082341,1.48161742106588
90,0.251659356708066,-1.78005318698578,0.613405690375228,1.60757410687878,0.468548925025425,1.73141095415658,2.58429450910712,0.618439558073702,2.66791181189136,0.618439558073702,0.219538095142481,0.726687707837145,2.66791181189136,0.726687707837145,2.99778389217339
91,0.862238134976472,-1.57386202721928,-1.92947144877604,1.41688455778267,5.89917986981364,0.290743787456217,2.00756185008299,0.789912208040118,-0.198774893345451,0.789912208040118,34.8003231364145,-1.14064128471604,-0.198774893345451,-1.14064128471604,0.0845319499443861
92,-2.36570491464755,-2.19082431975061,-2.10338452587179,0.254469337740398,0.155638291378206,0.199055572754616,0.064754643850037,0.0207253431007305,0.0429407214563389,0.0207253431007305,0.0242232777431275,0.0222741000434695,0.0429407214563389,0.0222741000434695,0.0396231210446681
93,-2.29460128852521,-2.70409521531042,-2.18232511854522,0.227131673385998,0.268392011964753,0.175462883406355,0.0515887970551237,0.0495265889854291,0.0263521529541082,0.0495265889854291,0.0720342720864881,0.032373018972804,0.0263521529541082,0.032373018972804,0.0307872234532723
