"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.21,-1.96910629359644,-1.84956677376251,-1.95821636067204,-1.84925130757415,-1.93379927453651,-1.86160700224001,-2.48080218825263,-1.81535387428853,-1.85003749517581,-1.86201394689889,-2.00410816042546,0.377809855143953,0.409082288289598,0.376169584142253,0.393531341893159,0.387680417263797,0.386542812192077,0.416616981016768,0.439224916610912,0.376375565109761,0.397011746279886,0.378485819276454
0.22,-1.76875755650978,-1.95606780840367,-2.02022035780331,-1.84728869290367,-2.00089226059557,-1.96831740154754,-1.8326996785905,-2.00140644020606,-2.08199403633304,-2.03333424548264,-1.97737349949033,0.379399631605838,0.373909020810422,0.374604286763068,0.373541991312131,0.361703306802965,0.373715481131696,0.431952396603455,0.478528971833055,0.387571659536994,0.366768725245351,0.376616826203738
0.23,-1.91268591775114,-2.02040415290567,-1.93178606971922,-1.77484636793069,-2.01306861738661,-1.91208548477034,-1.99956786543128,-1.82942290210596,-2.08051110606586,-1.92196070416585,-1.9208482844479,0.38198617965369,0.371490672308158,0.391838380582851,0.389973046203906,0.365996789505388,0.381849169028553,0.367285415752751,0.382256352029064,0.349323023569558,0.381496470409577,0.38912956985462
0.24,-1.98234156348797,-2.03951801262466,-1.95694096372191,-2.00472567235126,-1.88827657827059,-2.03019458701921,-1.97003927425375,-1.84178389314551,-1.83829961835168,-1.95020231981184,-2.00188107771729,0.366863089484212,0.37224392132646,0.374368668459329,0.37047855576696,0.385384486047325,0.376624669002531,0.367473860684893,0.376400714967309,0.378734907625116,0.377808818819322,0.367100303807391
0.25,-1.96865129115871,-1.98944469170575,-2.05693996783488,-1.96907389051855,-1.97326392123688,-2.05064863373687,-2.07437480120765,-2.01775931568626,-1.96907297063195,-1.85162048307321,-1.92369206358329,0.394331264396281,0.384378539493848,0.365991909338625,0.39430925139669,0.372891011682108,0.364153735236108,0.36677952990073,0.389517793828762,0.394324560160382,0.377355785684781,0.37913979367969
0.26,-1.84047001644601,-1.90497406336274,-1.91642702468841,-1.88628672829899,-1.80550313382579,-1.90837942454663,-2.02841718755839,-1.96852569587521,-1.83746211505432,-1.90702037988839,-1.82602633099502,0.406639154216315,0.361209440337861,0.402117016398207,0.371862056429202,0.372283676502122,0.394470783937559,0.386234684961065,0.398760460506959,0.378459525338465,0.374019165000619,0.375020510660242
0.27,-1.94380082274332,-1.87949315193603,-1.90868761686004,-1.91539723918732,-1.53562065208828,-1.9014467518159,-2.02344408079233,-1.90908812501796,-1.83651457831121,-1.73973674318837,-1.78259276671129,0.371208833604241,0.370060939088785,0.375704370269102,0.395333740275143,0.405662348496537,0.37477769009721,0.365703005148466,0.37676159860561,0.377307591511498,0.392841109696214,0.368600565934053
0.28,-2.16398969583119,-2.22116261916079,-2.1775695015821,-1.61660759299066,-1.76944381234512,-2.03928162619266,-2.11228275972259,-1.89029727790288,-1.99295269252753,-1.92539126550697,-1.9557961007173,0.379663296737024,0.408107375829227,0.358250355751067,0.402597079213176,0.39293459741445,0.36947093524738,0.364636533475236,0.372072726610231,0.359713758729295,0.368486262058361,0.372301340044801
0.29,-1.98982610464116,-1.71306080143642,-1.87961646875459,-1.8154113995268,-1.90740958662297,-1.72913685342593,-1.72722134655241,-1.97408433509192,-1.9695744953783,-1.82853072975696,-2.08230051938056,0.391655230214287,0.410512384909352,0.375795715612236,0.377018823475591,0.38359777713244,0.412221017796836,0.389624264475064,0.360771916549676,0.361057656420552,0.386045818651213,0.371702249085962
0.3,-1.91496632871753,-2.00880317593047,-1.9174764735948,-1.68211545454209,-1.75958820929337,-2.11085723803136,-1.6698491808269,-2.02032298724757,-1.94729664680618,-2.01888540068272,-1.90296079273551,0.370224762060305,0.344010469956683,0.360582713873806,0.376155905112675,0.38160160046925,0.355505943716838,0.392297611212469,0.343359340810014,0.363454371111999,0.345276895996858,0.367511097157553
