"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.37,-1.95037780269364,-1.97265185694302,-1.96373429232746,-1.96341017979349,-1.91110166236933,-1.941859142282,-1.99121648940584,-2.04044127327258,-1.98454106015823,-2.02432217639723,-1.96575046205155,0.403713230406162,0.397638739200434,0.398263976024208,0.39818099988652,0.386716677453688,0.404653967996524,0.40110425783705,0.394697500520878,0.393162531574445,0.399657901554344,0.398394561860753
0.38,-2.01725658700307,-2.00600812409276,-1.99323979338059,-1.8647247756557,-1.89616280802752,-1.93036368506795,-1.88928889578347,-1.92333743437929,-2.11307969499813,-2.00534908367085,-1.97035117706448,0.394770008057142,0.391500091857804,0.395323064254637,0.395129500482397,0.392403633416301,0.392166040172428,0.398359441559486,0.394848468619999,0.356842300915872,0.391690376641225,0.390907466069414
0.39,-2.06537626869432,-1.98855566911393,-1.98087100411548,-1.90394445742478,-1.88088237444372,-1.96941878220379,-1.81930783479387,-1.90514374058072,-1.96570304031025,-1.9153976961705,-1.97629146550619,0.384154475533897,0.390345088580988,0.391647535547014,0.398289951523676,0.391134957214451,0.388609493270594,0.401764138218571,0.3935206176802,0.390003351782452,0.409774157496105,0.389304630691836
0.4,-2.29381846972644,-1.913219706056,-1.94856136620387,-2.12766689318559,-1.89997617222015,-1.92962100726176,-1.945668412639,-1.91558176527387,-1.90824924069095,-1.91344289484866,-1.90577661441681,0.330900806384716,0.391646992357463,0.39275639897973,0.361645483536797,0.391907834249586,0.389945767078165,0.394549501631179,0.390643872779672,0.390314163030805,0.39163689828902,0.387492760450977
0.41,-1.96751320941723,-1.87564868566989,-1.8238599585211,-2.55585446327429,-1.90786303028374,-1.8919732068226,-1.88203244434861,-1.81579593589182,-1.76020941972222,-1.87168340775416,-1.97648095422675,0.388697725207397,0.38807008816013,0.395911712239781,0.348114687495204,0.391736159114672,0.381158612122873,0.386994678062392,0.38778203128819,0.382941575125172,0.383432393206291,0.388078352719358
0.42,-1.79374171053709,-1.90770183224651,-1.8119367580504,-1.8019885905251,-1.83631901294267,-1.55408462378117,-1.74436204464059,-1.82956194554577,-1.83776334875742,-1.75076571778655,-1.75535201456645,0.409119823207631,0.387430593296694,0.394398833872768,0.392904643929321,0.393604083978605,0.415933476756209,0.403272152418474,0.392052624488702,0.403143992447025,0.386999550290428,0.400101995117665
0.43,-2.28323568464522,-1.92357162502418,-1.83741861060896,-1.92302212732358,-2.34912024317956,-1.92399988321808,-1.96880532170148,-1.87448056121191,-1.89897395418483,-1.95135554176185,-1.93576087775545,0.338674551677492,0.381131678445116,0.38787539078737,0.37849740560293,0.341413622706891,0.37775961186029,0.39229491341899,0.380074026543822,0.38238159560155,0.383479101846623,0.384416685195342
0.44,-1.86209548233277,-2.05485805779796,-1.90652782619657,-1.85502961038451,-1.87320677560787,-2.10820521886183,-2.06070893781366,-1.91429875772068,-1.86705630882331,-2.29890833695411,-1.72285446106387,0.385556081283366,0.383033651977241,0.381143535468391,0.385820276811142,0.384059608170752,0.352413134416768,0.390124544602966,0.382099688792229,0.384451265598604,0.328372534574508,0.390893081931792
0.45,-1.76940040027087,-1.83976446639276,-1.78801288723927,-1.78775299103478,-1.18392260377739,-1.59447963836194,-1.75928633770001,-1.63451193671383,-1.90915770950392,-1.97027364652349,-1.79509338889627,0.384739667427698,0.383583550316104,0.375722014376658,0.375730140976122,0.409114701132534,0.397528835274982,0.388939356890776,0.404441394119878,0.381995159388817,0.379773915614891,0.383022400797777
0.46,-1.77696068310574,-1.81854110609679,-1.83991540511851,-1.85263140276959,-1.96931978220571,-1.81211626130375,-1.87612302600502,-1.86090913959662,-1.66036166871238,-1.60024937385302,-1.91146024769003,0.398736588372075,0.380315335986156,0.390107346552638,0.378838324140011,0.38648431306127,0.380051920349708,0.381969367838024,0.381637622436164,0.387382123576415,0.386716983444256,0.379476511122066
0.47,-1.56068477519831,-1.61026389351174,-1.63420524130944,-1.60614813238435,-1.39383490639934,-1.68632166120097,-1.72976969903213,-1.83515033597815,-1.97890475475819,-1.79907434762748,-1.82349726169922,0.396863446110607,0.400746134959082,0.375119251005889,0.384008815839737,0.379042046682439,0.381158164490815,0.385217885501595,0.375257830914958,0.382759326847542,0.384049875560231,0.38224133362794
0.48,-1.84207077361769,-1.79605118539892,-1.83097062905575,-1.80199970123716,-1.41617237251534,-1.83610979180095,-1.84528246736245,-1.47004895601425,-1.80237321771904,-1.82628320688341,-1.84516742583005,0.372556428758514,0.386482551406226,0.392495719159468,0.385049482674852,0.389515386556012,0.387869198796385,0.393790041568126,0.373571845258957,0.384623164718055,0.391519862564033,0.39380827517491
0.49,-1.38780181303323,-1.82383941348675,-1.66617577107316,-1.44836480232474,-1.49645075260291,-1.6792800813454,-1.62657626752141,-1.81602980939955,-1.38789178490348,-1.78963637412158,-1.82303118151914,0.390135164273938,0.386471023425495,0.393202838085726,0.390595987667666,0.393243503295046,0.391974628316969,0.380843939818308,0.36949629233275,0.390138723343461,0.389589060968072,0.370264062268836
0.5,-1.40892057715925,-1.82260960353439,-1.82247349844093,-1.90814003618788,-1.49986205679615,-1.49361071848416,-1.55118325771269,-1.7388246939117,-1.81263656867237,-1.49435486501512,-1.93919332514937,0.391919336014351,0.374875895776792,0.374887669245181,0.389664238170575,0.377956404148943,0.382798352627794,0.392675186472818,0.391166849204986,0.378521426804394,0.380133718171743,0.388754761503241
0.51,-1.77053235714091,-1.87195965837173,-1.80991334277473,-1.50879725876589,-1.59672269246615,-1.82037858083233,-1.78703540932301,-1.37359737581495,-1.596698989936,-1.71463014908372,-1.62595045526727,0.384796243563691,0.410569559012464,0.380280923269241,0.390786009583013,0.392776198271397,0.374717357903003,0.387646434954948,0.353119236332267,0.392777182040285,0.38793690143026,0.392528552957344
0.52,-1.64203832007077,-1.43925371011786,-1.4430064364925,-1.44671481707979,-1.84263379375227,-1.49332556680078,-1.50067279765714,-1.88550736225732,-1.43434875996837,-1.67744964592743,-1.44403700473882,0.391491734083678,0.371151890065209,0.37100004884757,0.381487268748713,0.388204940260704,0.391755801382774,0.383023431502165,0.433029087056206,0.403975140041503,0.377760506526055,0.370819117467262
0.53,-1.24803164018334,-1.23819693411963,-1.9093106093136,-1.9090599756469,-1.65417286702948,-1.71021636797174,-1.23832136149729,-0.961742591681288,-1.65578004441527,-1.33369884188154,-2.04905092023244,0.389145321575298,0.38449614358984,0.384897677242086,0.384913191655773,0.387925998948883,0.385308837407842,0.384503643969501,0.381942874954997,0.394752192501804,0.373141892585688,0.389866870261301
0.54,-1.74755094509886,-1.88929013951657,-1.35207321589037,-1.42810403308116,-1.37619437600908,-1.58780244027766,-1.26954964535037,-1.3491961314927,-1.13981068810415,-1.45654505429705,-1.40673765622904,0.384398783887323,0.385384577045923,0.393233510303862,0.415714492253482,0.409660632395051,0.386958744532688,0.395751535157434,0.405402993296243,0.382081621189552,0.372552738224152,0.383295424567337
0.55,-1.58899534122325,-1.6192595233865,-1.17227958275445,-1.83050636483607,-1.60389955176252,-1.65874248573492,-1.52290567676787,-1.66599618489895,-1.7358734471498,-1.62100447344405,-1.98596757273434,0.384866565313468,0.383844518100769,0.407496164241882,0.369237239418904,0.383371158883319,0.38437622484762,0.369352024537793,0.366367493011185,0.37687726128967,0.385079845281129,0.413281887889507
0.56,-2.37854725396791,-1.82711088279047,-1.85372632290752,-1.56565225566575,-1.40123808942545,-1.5352070910369,-1.75746250951365,-1.0933343216595,-1.59453701558468,-1.85334074618548,-1.39322024400012,0.352481911272371,0.384347042546336,0.369525039740608,0.377339449696389,0.373207489914539,0.384868505368029,0.373892639446588,0.376615348203923,0.373284280951796,0.369546036225972,0.351231132253583
0.57,-1.58578685264545,-1.34246304101606,-1.5633917664329,-1.35448009984048,-1.59716855051919,-1.34944280634201,-1.28920149105965,-1.56672220196225,-1.5628242031817,-1.51225951213005,-1.26360391360553,0.384105530204292,0.299219325790056,0.289311655543318,0.301945589607298,0.374370665441386,0.300577935614298,0.304320079734604,0.288358188625878,0.289852935104394,0.297275917795611,0.382804680358042
0.58,-1.28174044139322,-1.68595346781083,-1.2628092168667,-1.19965992142849,-1.54116032317721,-1.35845451125983,-1.61785419499606,-1.54784844298491,-1.89382249610117,-1.63305147948937,-1.80405068778373,0.378356533458344,0.366526177683114,0.376041477840572,0.380347160185412,0.332520089826515,0.36916256600246,0.382572628295729,0.380080400832319,0.315232760305765,0.366045499114042,0.350501155026795
0.59,-1.75339829894804,-1.32083672442844,-0.935235527867207,-1.82037762850681,-1.57410498824611,-1.21542816523092,-0.970079227490263,-1.41693143967121,-0.948155446498481,-1.96099650675556,-0.979216865342538,0.354717662221096,0.366329372017747,0.379822423987608,0.33496816016697,0.378762066600682,0.37565702068156,0.381980673349817,0.372296300022075,0.381271561551627,0.375001121900809,0.367529437194815
